UIDClient,UIDStoreLocation,Gender,DateJoined,DaysSinceJoined,MembershipType,MembershipLevel,Age,UVTans,SunlessTans,UpgradeRevenue,RetailRevenue
000597,0001,0,3/13/2010,1694,2,0,38,189,4,56,76.01
017873,0001,0,10/3/2009,1855,2,0,48,0,26,25,171.32
026441,0001,0,3/18/2007,2785,2,1,76,265,58,15,190.23
031132,0001,0,3/18/2007,2785,2,0,40,327,18,0,399.58
031382,0001,0,4/24/2012,921,2,0,20,90,0,8,66.99
044204,0001,0,6/22/2007,2689,2,0,20,162,17,0,323.16
050652,0001,0,5/25/2008,2351,2,0,52,2,1,0,9.54
081049,0001,0,3/19/2009,2053,2,4,40,34,2,0,242.84
098231,0001,0,6/24/2010,1591,2,0,63,11,0,0,59.45
009020,0002,0,8/29/2011,1160,2,1,21,306,0,0,200.66
010081,0002,0,2/11/2004,3916,2,0,28,40,0,26,116.35
018228,0002,0,2/9/2006,3187,2,1,39,232,4,24,36.14
024371,0002,0,12/5/2006,2888,2,3,25,32,0,0,50.28
024572,0002,0,12/24/2002,4330,2,0,58,138,5,0,360.36
035256,0002,0,5/22/2012,893,2,0,57,33,0,0,40.19
035502,0002,0,4/2/2010,1674,2,0,58,61,12,0,101.38
037885,0002,1,2/25/2011,1345,2,0,36,28,0,0,126.05
042185,0002,0,4/8/2012,937,2,4,48,58,1,0,204.02
042865,0002,0,4/21/2003,4212,2,0,33,74,1,0,443.62
045289,0002,0,2/25/2002,4632,2,1,35,35,62,0,223.90
047989,0002,0,12/26/2009,1771,2,0,33,5,34,0,75.29
048885,0002,0,4/14/2004,3853,2,4,26,172,86,11,333.48
057198,0002,0,5/18/2011,1263,2,0,53,114,0,0,1319.55
062280,0002,0,3/5/2012,971,2,3,25,62,0,0,95.35
071555,0002,1,2/11/2009,2089,2,0,22,63,10,0,167.38
073192,0002,1,4/6/2012,939,2,0,19,64,0,0,48.89
081452,0002,1,5/29/2010,1617,2,0,55,12,28,0,153.08
083530,0002,0,7/6/2005,3405,2,0,24,31,4,0,168.98
086046,0002,0,4/27/2005,3475,2,0,23,85,29,0,39.00
091156,0002,0,7/17/2004,3759,2,4,61,211,0,0,379.64
098368,0002,0,3/28/2002,4601,2,1,65,105,1,56,270.66
100635,0002,0,9/29/2004,3685,2,4,32,79,26,30,597.74
001634,0003,0,11/18/2004,3635,2,2,23,57,0,0,163.82
001667,0003,1,4/22/2006,3115,2,1,57,21,0,0,50.89
007430,0003,0,7/29/2009,1921,2,3,47,45,0,0,226.74
008738,0003,0,2/15/2011,1355,2,1,35,122,0,65,271.92
015807,0003,1,11/25/2001,4724,2,0,68,282,2,8,186.54
022043,0003,0,7/3/2004,3773,2,1,59,10,2,5,37.00
026875,0003,0,6/19/2009,1961,2,1,55,10,1,20,119.28
028072,0003,0,5/28/2011,1253,2,1,51,40,0,55,302.16
032300,0003,0,5/5/2005,3467,2,2,56,107,0,182,212.15
036997,0003,0,6/15/2001,4887,2,0,53,36,3,0,0.88
038225,0003,0,6/12/2004,3794,2,1,35,188,0,21,402.27
039534,0003,0,2/13/2006,3183,2,4,44,157,0,52,112.47
040266,0003,0,3/24/2008,2413,2,1,27,149,7,215,273.64
041785,0003,0,3/22/2007,2781,2,1,56,111,6,53,152.97
043160,0003,0,8/22/2005,3358,2,0,36,14,0,0,70.94
044992,0003,0,2/21/2004,3906,2,3,63,56,0,18,71.71
045996,0003,0,10/21/2005,3298,2,1,47,116,0,10,175.84
049125,0003,0,11/19/2004,3634,2,1,38,93,0,35,132.00
055116,0003,0,6/15/2001,4887,2,1,56,12,12,48,74.43
058142,0003,0,3/19/2007,2784,2,4,53,55,2,5,358.23
062310,0003,1,2/6/2011,1364,2,1,51,99,0,0,30.38
062875,0003,0,2/8/2008,2458,2,0,53,17,0,0,22.53
064470,0003,0,10/3/2009,1855,2,0,32,16,0,32,90.19
067368,0003,1,9/10/2005,3339,2,1,55,184,0,0,588.19
069397,0003,0,7/3/2003,4139,2,1,67,84,0,4,236.45
070491,0003,1,2/9/2003,4283,2,1,74,63,0,0,0.00
071615,0003,0,8/11/2004,3734,2,0,46,198,3,8,179.28
076071,0003,1,6/15/2011,1235,2,0,52,42,40,0,169.30
078711,0003,0,6/24/2006,3052,2,1,52,105,0,38,70.46
082042,0003,1,3/3/2011,1339,2,1,21,117,1,34,208.68
082364,0003,0,3/21/2003,4243,2,0,33,18,6,62,117.19
083553,0003,0,4/8/2006,3129,2,0,48,115,83,0,341.90
084856,0003,0,6/12/2007,2699,2,1,45,72,32,12,250.93
